longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.26,37.83,52,1443,311,660,292,3.0125,184400,NEAR BAY
-122.26,37.83,52,1656,420,718,382,2.6768,182300,NEAR BAY
-122.26,37.83,50,1125,322,616,304,2.026,142500,NEAR BAY
-122.27,37.82,43,1007,312,558,253,1.7348,137500,NEAR BAY
-122.26,37.82,40,624,195,423,160,0.9506,187500,NEAR BAY
-122.27,37.82,40,946,375,700,352,1.775,112500,NEAR BAY
-122.27,37.82,21,896,453,735,438,0.9218,171900,NEAR BAY
-122.27,37.82,43,1868,456,1061,407,1.5045,93800,NEAR BAY
-122.27,37.82,41,3221,853,1959,720,1.1108,97500,NEAR BAY
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,NEAR BAY
-122.28,37.82,52,1170,235,701,233,1.6098,87500,NEAR BAY
-122.28,37.82,52,945,243,576,220,1.4113,83100,NEAR BAY
-122.28,37.82,52,1238,288,622,259,1.5057,87500,NEAR BAY
-122.28,37.82,52,1489,335,728,244,0.8172,85300,NEAR BAY
-122.28,37.82,52,1387,341,1074,304,1.2171,80300,NEAR BAY
-122.29,37.82,2,158,43,94,57,2.5625,60000,NEAR BAY
-122.29,37.83,52,1121,211,554,187,3.3929,75700,NEAR BAY
-122.29,37.82,49,135,29,86,23,6.1183,75000,NEAR BAY
-122.29,37.81,50,760,190,377,122,0.9011,86100,NEAR BAY
-122.3,37.81,52,1224,237,521,159,1.191,76100,NEAR BAY
-122.3,37.81,48,828,182,392,133,2.5938,73500,NEAR BAY
-122.3,37.81,52,1010,209,604,187,1.1667,78400,NEAR BAY
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY
-122.29,37.8,52,1027,244,492,147,2.6094,81300,NEAR BAY
-122.3,37.81,52,572,109,274,82,1.8516,85000,NEAR BAY
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,NEAR BAY
-122.29,37.81,26,768,152,392,127,1.7719,82500,NEAR BAY
-122.29,37.81,46,935,297,582,277,0.7286,95200,NEAR BAY
-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY
-122.29,37.81,46,12,4,18,7,0.4999,67500,NEAR BAY
-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY
-122.28,37.81,17,1237,462,762,439,0.9241,177500,NEAR BAY
-122.28,37.81,36,2914,562,1236,509,2.4464,102100,NEAR BAY
-122.28,37.81,19,1207,243,721,207,1.1111,108300,NEAR BAY
-122.29,37.81,23,1745,374,1054,325,0.8026,112500,NEAR BAY
-122.28,37.8,38,684,176,344,155,2.0114,131300,NEAR BAY
-122.28,37.81,17,924,289,609,289,1.5,162500,NEAR BAY
-122.27,37.81,52,210,56,183,56,1.1667,112500,NEAR BAY
-122.28,37.81,52,340,97,200,87,1.5208,112500,NEAR BAY
-122.28,37.81,52,386,164,346,155,0.8075,137500,NEAR BAY
-122.28,37.81,35,948,184,467,169,1.8088,118800,NEAR BAY
-122.28,37.81,52,773,143,377,115,2.4083,98200,NEAR BAY
-122.27,37.81,40,880,451,582,380,0.977,118800,NEAR BAY
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-122.27,37.8,10,105,42,125,39,0.9722,137500,NEAR BAY
-122.27,37.8,52,249,78,396,85,1.2434,500001,NEAR BAY
-122.27,37.8,16,994,392,800,362,2.0938,162500,NEAR BAY
-122.28,37.8,52,215,87,904,88,0.8668,137500,NEAR BAY
-122.28,37.8,52,96,31,191,34,0.75,162500,NEAR BAY
-122.27,37.79,27,1055,347,718,302,2.6354,187500,NEAR BAY
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,NEAR BAY
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,NEAR BAY
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,NEAR BAY
-122.26,37.81,29,335,107,202,91,2.0062,125000,NEAR BAY
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000,NEAR BAY
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY
-117.04,32.8,11,1802,440,630,428,2.0337,146700,<1H OCEAN
-121.29,38.89,10,653,120,407,146,3.3889,110800,INLAND
-118.15,33.77,39,2428,634,1312,612,2.7212,266300,NEAR OCEAN
-118.47,33.99,24,1438,454,665,416,2.975,500001,<1H OCEAN
-121.77,37.33,9,3160,468,1675,470,7.5443,348400,<1H OCEAN
-118.5,33.97,29,2737,808,1157,696,5.128,500001,<1H OCEAN
-122.96,38.26,20,1982,358,308,132,3.1429,240900,NEAR OCEAN
-118.39,34.08,27,6605,1710,2665,1520,3.8088,500001,<1H OCEAN
-117.91,34.07,36,1390,270,887,266,5.0897,189000,<1H OCEAN
-117.85,33.85,17,4678,1065,2427,1020,4.2276,254100,<1H OCEAN
-119.92,38.91,15,3831,625,984,328,5.0718,162500,INLAND
-122.49,37.67,29,3795,675,2494,696,5.2848,260300,NEAR OCEAN
-117.71,33.65,16,3774,456,1587,430,8.6088,307400,<1H OCEAN
-118.36,33.91,36,2064,474,1366,421,4.1,243100,<1H OCEAN
-117.27,33.04,27,1839,392,1302,404,3.55,214600,NEAR OCEAN
-121.96,37.3,23,4040,843,2181,843,4.0403,303400,<1H OCEAN
-122.16,37.74,46,1029,181,567,211,3.4844,129500,NEAR BAY
-117.47,34.12,6,10565,1767,5690,1555,4.1797,141000,INLAND
-117.72,34,15,4363,690,2410,666,5.4824,179700,INLAND
-118.31,33.75,34,2338,393,1031,373,6.287,396400,NEAR OCEAN
-118.19,33.9,32,2762,652,2677,632,2.5719,105600,<1H OCEAN
-117.05,32.57,13,2880,576,2450,567,3.1696,138000,NEAR OCEAN
-122.17,37.71,38,890,200,481,198,3.244,179800,NEAR BAY
-122.28,37.49,29,4148,635,1638,627,6.912,457200,NEAR OCEAN
-117.91,33.75,8,2346,679,3842,674,3.0635,160000,<1H OCEAN
-119.25,34.26,30,2948,827,1635,750,2.67,214900,NEAR OCEAN
-118.12,33.86,34,2116,427,972,396,4.8516,213600,<1H OCEAN
-120.04,36.96,23,2126,506,2091,491,1.3713,51800,INLAND
-118.38,33.86,15,1778,311,908,330,7.674,329300,<1H OCEAN
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,NEAR BAY
-118.23,33.9,45,1285,238,840,211,3.4107,112500,<1H OCEAN
-117.57,33.91,22,2620,396,1324,362,5.3735,214600,INLAND
-122.34,37.55,44,2465,328,843,324,6.9533,500001,NEAR OCEAN
-118.46,34.05,21,3639,1002,1489,983,4.6197,387500,<1H OCEAN
-122.19,37.78,52,2198,397,984,369,3.22,156500,NEAR BAY
-117.99,33.88,15,2298,567,1261,527,4.2422,159400,<1H OCEAN
-119.05,36.06,23,2344,407,1184,406,3.1625,70600,INLAND
-119.19,34.15,31,4175,1004,3310,954,3.1989,185400,NEAR OCEAN
-121.62,36.67,45,1827,408,1507,410,2.8942,129000,<1H OCEAN
-116.77,33.92,19,2307,525,1266,437,1.6875,63000,INLAND
-119.1,35.79,19,1809,477,2051,416,1.8144,49800,INLAND
-119.06,34.37,32,3885,759,2504,736,3.6453,201700,<1H OCEAN
-121.86,39.75,18,1651,309,856,293,3.5046,118300,INLAND
-118.02,34.13,34,1966,319,980,297,7.7307,429000,INLAND
-118.05,34.06,25,1022,291,1570,297,3.023,142000,<1H OCEAN
-118.09,33.98,37,1226,255,1068,271,3.1607,172200,<1H OCEAN
-122.51,38.06,24,9493,1935,5162,1880,3.0742,118800,NEAR BAY
-117.94,34.06,32,3418,662,2003,622,4.0333,210200,<1H OCEAN
-118.37,34.02,44,1944,458,981,377,2.6154,193200,<1H OCEAN
-118.26,33.85,24,9071,1335,4558,1327,5.542,197500,<1H OCEAN
-121.28,38.68,16,3467,615,1478,601,3.75,147300,INLAND
-118.11,33.91,29,889,166,597,163,4.9609,186700,<1H OCEAN
-117.2,33.38,14,5392,821,2350,810,5.0507,291500,<1H OCEAN
-118.2,34.11,52,1901,525,1856,480,3,156400,<1H OCEAN
-118.38,34.05,40,2352,598,1133,563,3.238,287500,<1H OCEAN
-117.18,32.84,30,2290,523,1272,472,3.5606,165100,NEAR OCEAN
-119.7,34.4,25,1858,493,865,460,3.0938,312500,NEAR OCEAN
-118.51,34.3,24,6145,868,2710,875,7.5078,344000,<1H OCEAN
-116.39,33.69,10,11659,2007,2186,1083,6.9833,238800,INLAND
-117.28,32.83,34,2392,653,933,619,3.7306,500000,NEAR OCEAN
-122.45,40.85,20,2701,573,892,358,2.7736,107800,INLAND
-117.87,33.72,39,3167,669,2789,619,3.5902,165900,<1H OCEAN
-119.32,36.31,21,2309,424,1047,453,2.9886,87500,INLAND
-122.27,37.54,15,2126,310,905,306,8.9083,500001,NEAR BAY
-122.71,38.5,15,5645,830,2324,769,6.6104,330900,<1H OCEAN
-119.77,36.77,29,2554,705,2669,655,1.2176,61900,INLAND
-121.44,38.64,18,1756,442,837,320,1.125,70500,INLAND
-117.16,32.8,37,422,79,211,80,3.0625,159700,NEAR OCEAN
-119.78,36.65,27,1226,240,706,211,2.77,68400,INLAND
-122.16,39.78,32,1288,221,562,203,2.325,69600,INLAND
-118.19,33.86,38,2009,524,1449,451,2.7045,155400,<1H OCEAN
-117.09,32.72,33,1096,240,716,224,1.6944,111800,NEAR OCEAN
-118.29,33.92,23,2503,532,1735,505,2.7368,162800,<1H OCEAN
-122.29,37.55,27,3789,874,2243,866,4.39,270100,NEAR OCEAN
-120.76,37.61,30,816,159,531,147,3.2604,87900,INLAND
-118.58,34.22,35,2560,441,1428,468,5.6345,228200,<1H OCEAN
-117.67,33.47,22,2728,616,1081,566,1.6393,500001,<1H OCEAN
-119.16,34.2,35,2183,636,3504,623,1.9704,160300,NEAR OCEAN
-117.29,33.18,15,3780,792,1632,721,2.7644,111400,NEAR OCEAN
-119.57,36.71,10,1657,359,958,380,2.6458,84800,INLAND
-118.15,34.19,48,1854,360,1126,382,3.2216,161600,<1H OCEAN
-118.1,34.01,29,2077,564,2087,543,2.66,189200,<1H OCEAN
-118.27,34.04,13,1784,,2158,682,1.7038,118100,<1H OCEAN
-117.25,33.08,13,3651,465,1311,435,7.5402,340300,NEAR OCEAN
-118.14,34.06,39,2390,444,1246,422,3.7857,245700,<1H OCEAN
-118.21,34.04,47,1325,393,1557,352,2.8,148400,<1H OCEAN
-120.66,35.13,41,2666,751,940,507,1.9653,236100,<1H OCEAN
-117.92,33.75,8,2325,598,1511,565,3.3629,137500,<1H OCEAN
-120.15,39.36,9,2254,400,694,243,5.6856,138100,INLAND
-118.08,33.89,28,1035,275,1545,269,3.0357,123400,<1H OCEAN
-122.07,37.91,28,1731,295,810,295,5.0391,259800,NEAR BAY
-117.18,34.05,29,3436,731,1323,676,2.4943,122300,INLAND
-117.93,33.82,28,2444,555,1848,567,3.0179,198800,<1H OCEAN
-117.17,32.79,43,1269,297,946,285,2.1447,133300,NEAR OCEAN
-119.55,36.69,21,1551,423,1519,406,1.7132,55900,INLAND
-122.02,37.94,23,3516,661,1465,623,4.2569,213100,NEAR BAY
-122.14,37.44,52,3117,468,1114,421,6.6756,500001,NEAR BAY
-121.92,37.24,26,6777,1051,3319,1061,6.3663,279400,<1H OCEAN
-121.82,38.01,42,1017,253,798,266,2.1719,99100,INLAND
-116.94,32.8,28,3042,729,1964,703,2.4141,137500,<1H OCEAN
-118.19,33.86,36,2013,546,1659,522,3.1215,153600,<1H OCEAN
-121.31,37.96,52,2654,468,1157,494,3.226,107600,INLAND
-117.98,33.81,28,3528,816,2304,764,2.582,181800,<1H OCEAN
-117.97,34.05,36,931,160,746,201,3.1667,158000,<1H OCEAN
-117.56,33.94,6,575,73,318,88,7.0215,257100,INLAND
-121.88,37.44,14,2073,343,1107,330,6.7093,311200,<1H OCEAN
-122.14,37.41,35,2419,426,949,433,6.4588,437100,NEAR BAY
-122.28,37.86,52,1659,367,788,346,2.8214,164300,NEAR BAY
-118,33.91,19,5166,770,2374,753,5.979,285200,<1H OCEAN
-122.73,38.26,35,3941,645,1668,620,4.385,317700,<1H OCEAN
-118.34,34.02,48,1614,320,684,318,4.2218,181000,<1H OCEAN
-121.77,36.92,9,4934,1112,3198,977,3.5,194800,<1H OCEAN
-122.04,37.39,5,8745,2211,3959,2019,4.7685,280100,<1H OCEAN
-118.27,34.09,52,2327,555,1048,491,3.7847,252300,<1H OCEAN
-118.46,34.26,33,1358,247,738,235,5.0947,210300,<1H OCEAN
-122.2,37.75,36,606,132,531,133,1.5809,70000,NEAR BAY
-122.54,38.36,40,2725,531,1167,458,3.7969,202800,<1H OCEAN
-121.98,38.37,21,3027,675,2018,642,2.8438,111500,INLAND
-122.22,37.78,44,2968,710,2269,610,2.3906,111700,NEAR BAY
-122.26,37.55,17,4576,814,1941,807,5.9572,443800,NEAR BAY
-117.76,34.07,51,1538,394,1173,388,2.3156,109800,INLAND
-122.59,38.44,14,1665,390,505,348,3.183,201200,<1H OCEAN
-117.76,34.06,30,1700,504,1719,459,2.227,91900,INLAND
-117.92,33.73,17,1692,293,934,280,4.4728,205800,<1H OCEAN
-117.83,33.88,18,2112,340,1048,315,6.9308,231700,<1H OCEAN
-121.96,38.33,3,7985,1257,3664,1215,4.976,158300,INLAND
-122,38.35,24,745,116,300,115,3.6176,158500,INLAND
-121.37,38.58,37,2839,390,1006,400,7.3343,280400,INLAND
-118.25,34.01,28,481,136,596,128,1.2396,90300,<1H OCEAN
-116.98,32.75,25,4137,662,1905,630,4.375,214000,<1H OCEAN
-122.44,37.78,52,1118,279,514,284,2.4196,346200,NEAR BAY
-122.58,38.58,32,2723,637,1549,556,2.3942,183100,INLAND
-122.3,38.32,20,2063,486,1045,460,2.5035,153200,NEAR BAY
-121.39,38.59,33,2091,468,1053,470,2.2264,108100,INLAND
-118.45,34.04,19,3330,1010,1837,915,3.0173,393800,<1H OCEAN
-120.24,37.21,31,2447,465,1313,352,3.3929,93800,INLAND
-116.91,32.82,14,1978,424,1085,387,3.8073,170100,<1H OCEAN
-121.77,37.68,41,1501,299,629,288,4.6806,209400,INLAND
-117.87,33.78,30,2022,522,1196,463,3.7454,186000,<1H OCEAN
-118.13,33.76,52,2216,526,940,530,4.5469,381000,NEAR OCEAN
-118.25,33.93,42,819,233,899,228,1.1346,85400,<1H OCEAN
-117.05,32.63,31,4911,861,2334,843,4.1958,160100,NEAR OCEAN
-119.29,36.34,28,1440,431,2178,440,1.2634,50600,INLAND
-121.88,37.33,45,1192,371,1084,345,2.8594,205900,<1H OCEAN
-118.28,34.02,52,281,103,470,96,1.9375,38800,<1H OCEAN
-118.36,34.05,48,1835,380,956,370,3.2813,243600,<1H OCEAN
-118.31,34.08,49,2549,630,1539,594,2.6218,350900,<1H OCEAN
-118.01,34.12,32,1937,332,922,340,3.94,278400,INLAND
-121.3,38.74,41,4374,1039,2387,959,2.3611,87900,INLAND
-118.38,34.18,27,4834,1527,3847,1432,2.1449,165300,<1H OCEAN
-117.1,32.68,42,2013,568,1920,557,2.0724,107600,NEAR OCEAN
-118.37,33.85,29,3662,586,1626,611,6.3974,410000,<1H OCEAN
-118.38,34.06,29,3946,1008,1676,876,2.7824,450000,<1H OCEAN
-122.01,37.94,26,1619,224,706,220,6.0704,268000,NEAR BAY
-121.39,38.55,18,1734,467,783,447,1.9044,154300,INLAND
-118.23,34.21,29,2584,608,1217,568,3.3287,273400,<1H OCEAN
-117.93,33.85,25,1026,288,1646,283,4.2019,163900,<1H OCEAN
-119.85,36.8,14,1876,324,1031,311,3.6563,88800,INLAND
-118.21,34.04,36,1825,479,2097,480,2.1862,135300,<1H OCEAN
-118.43,34.22,34,1588,360,1080,340,3.66,184600,<1H OCEAN
-117.63,33.47,4,2320,405,1408,477,6.3369,256000,NEAR OCEAN
-118,33.76,12,1250,331,1047,334,3.0625,208800,<1H OCEAN
-119.49,34.39,17,4617,982,2303,923,3.9224,230600,NEAR OCEAN
-122.91,39.03,14,2374,557,723,427,1.3532,95800,INLAND
-121.98,37.36,34,1735,318,1019,301,4.5625,242700,<1H OCEAN
-117.88,33.76,37,2988,677,2354,666,3.4345,235500,<1H OCEAN
-116.97,32.8,15,3927,1018,2204,977,2.4367,111400,<1H OCEAN
-121.93,36.63,28,3983,852,1582,778,3.5147,313900,NEAR OCEAN
-117.99,34.13,37,1568,371,1618,350,2.9605,129400,INLAND
-117.06,32.8,17,2247,340,973,318,5.5,222000,<1H OCEAN
-118.16,34.03,41,1377,293,1142,272,3.1724,141600,<1H OCEAN
-117.33,34.06,42,530,123,390,124,1.0469,67000,INLAND
-121.27,38.11,15,2039,384,1178,375,3.8672,120100,INLAND
-118.24,34.2,41,2067,452,1282,455,5.5756,309900,<1H OCEAN
-122.15,37.74,52,2898,557,1338,550,3.851,183500,NEAR BAY
-122.07,37.72,26,3204,477,1411,484,5.4834,295200,NEAR BAY
-118.19,33.79,43,1823,600,2339,560,1.6792,130600,NEAR OCEAN
-120.98,37.65,40,422,63,158,63,7.3841,172200,INLAND
-122.26,38.15,26,3699,671,2388,699,4.0515,121900,NEAR BAY
-118.39,34.08,28,833,230,349,210,3.067,375000,<1H OCEAN
-121.04,39.08,8,2870,526,1307,451,3.463,201700,INLAND
-117.61,34.34,18,5210,912,1301,464,4.8623,176900,INLAND
-120.44,34.94,24,2481,476,1101,474,3.1576,147200,<1H OCEAN
-121.91,37.23,22,2614,453,1240,462,6.0712,271800,<1H OCEAN
-121.84,37.34,27,2512,526,3033,526,4.25,162900,<1H OCEAN
-118.34,34.06,52,1311,310,707,290,3.4812,432800,<1H OCEAN
-120.8,35.33,20,2200,393,996,365,3.587,330000,NEAR OCEAN
-118.13,34.08,40,1931,449,1367,446,2.575,228400,<1H OCEAN
-119.33,36.22,9,3748,644,1955,620,4.2011,108100,INLAND
-118.71,34.29,24,2983,406,1203,381,6.3236,302000,<1H OCEAN
-117.36,33.99,42,1178,261,804,283,2.9688,92900,INLAND
-118.24,33.99,44,448,116,504,96,1.875,98600,<1H OCEAN
-117.9,33.88,28,2696,346,947,356,9.0055,375400,<1H OCEAN
-117.76,34.11,22,4935,954,2874,938,3.9825,180500,INLAND
-118.17,33.74,36,2006,453,807,426,3.7838,500001,NEAR OCEAN
-122.32,37.56,26,2339,704,1283,654,3.162,415000,NEAR OCEAN
-118.47,34.01,44,2175,475,1019,448,4.793,470800,<1H OCEAN
-120.98,37.68,27,4006,762,1806,718,3.1848,112800,INLAND
-120.43,34.95,43,2020,344,692,310,3.6815,181800,<1H OCEAN
-117.92,33.63,24,1562,441,696,347,3.5161,236400,<1H OCEAN
-121.36,38.6,36,1275,227,530,245,3.875,133600,INLAND
-118.06,34.03,36,21,7,21,9,2.375,175000,<1H OCEAN
-119.16,36.31,7,2946,664,1608,622,1.6829,80200,INLAND
-121.32,38.03,25,2474,513,1947,524,2.5742,98400,INLAND
-116.5,33.81,26,5032,1229,3086,1183,2.5399,94800,INLAND
-118.42,34.32,30,3027,604,1970,590,4.3409,156000,<1H OCEAN
-118.36,34.1,52,1096,247,423,230,3.0179,500001,<1H OCEAN
-122.7,39,18,793,148,186,59,2.3125,162500,INLAND
-120.04,36.93,11,3606,699,2074,644,2.6941,63300,INLAND
-118.31,33.88,21,1490,430,686,400,2.3812,237500,<1H OCEAN
-122.32,38.35,20,3494,549,1673,541,5.5718,185200,INLAND
-121.52,38.53,31,3089,585,1366,561,4.2885,160300,INLAND
-121.2,38.67,26,1546,287,773,299,2.9803,115400,INLAND
-122.47,37.78,52,2388,507,1078,494,3.5221,443300,NEAR BAY
-121.1,38.33,14,1357,247,695,224,4.1974,157800,INLAND
-117.97,34.1,26,1399,277,1285,276,4,160100,INLAND
-121.26,38.27,20,1314,229,712,219,4.4125,144600,INLAND
-122.3,41.32,13,2300,513,1151,488,2.1571,81500,INLAND
-121.95,36.61,31,1736,250,497,170,6.3835,407800,NEAR OCEAN
-119.69,36.81,15,2892,496,1634,501,4.4934,88000,INLAND
-118.35,33.96,21,2714,881,1549,853,1.2094,157500,<1H OCEAN
-121.71,36.78,19,2371,324,944,332,5.9175,240200,<1H OCEAN
-117.9,34.13,32,1640,391,1312,358,2.6292,136100,<1H OCEAN
-122.45,37.71,52,1658,322,1086,326,3.8583,261600,NEAR OCEAN
-118.41,34.19,39,1169,242,612,247,4.1429,200000,<1H OCEAN
-122.07,37.66,28,2280,610,1255,587,2.6719,161200,NEAR BAY
-121.89,37.31,52,1994,404,1014,389,4.3882,223600,<1H OCEAN
-117.65,34.04,15,3393,,2039,611,3.9336,151000,INLAND
-118.41,34.17,35,2027,428,879,402,4.692,330900,<1H OCEAN
-121.24,38.79,15,2615,485,1063,428,3.7904,173200,INLAND
-116.99,33.75,18,9601,2401,4002,2106,1.4366,77000,INLAND
-119.73,36.62,35,2080,365,1026,333,3.5781,92800,INLAND
-122.24,37.76,52,2646,581,1128,522,3.0718,266700,NEAR BAY
-117.89,33.62,24,1016,238,465,236,3.0625,93800,<1H OCEAN
-122.47,37.76,52,2465,489,1170,498,4.0793,306700,NEAR BAY
-117.13,32.74,52,1512,321,651,321,3.6852,185300,NEAR OCEAN
-121.91,37.93,13,1610,198,703,217,8.7059,329400,INLAND
-117.16,32.91,5,1619,272,1063,296,6.0891,214600,<1H OCEAN
-118.38,34.07,21,3653,956,1510,890,3.5573,500001,<1H OCEAN
-116.86,33.05,17,9044,1689,5030,1596,3.6348,164500,<1H OCEAN
-121.3,38.72,15,2514,482,1166,503,2.2813,131900,INLAND
-116.94,33.77,14,7240,1410,2708,1240,2.4145,137600,INLAND
-116.58,32.69,19,4085,876,2133,718,2.919,116500,INLAND
-122.01,37.56,6,3028,778,1531,736,4.4259,158000,NEAR BAY
-117.1,32.76,31,987,267,619,250,2.9286,151800,NEAR OCEAN
-118.01,34.1,35,2120,412,1375,405,3.4609,166300,INLAND
-117.69,33.47,23,3499,722,1480,634,3.86,300000,<1H OCEAN
-121.42,38.64,44,1728,367,1042,349,1.6033,58500,INLAND
-122.18,37.74,35,504,126,323,109,1.8438,90500,NEAR BAY
-116.49,33.8,13,8789,1875,1274,688,3.7396,148900,INLAND
-117.9,33.72,36,443,117,577,115,3.6875,137500,<1H OCEAN
-118.11,33.98,36,446,108,410,117,3.3942,147200,<1H OCEAN
-122.4,37.72,41,1975,440,1528,424,3.8625,218300,NEAR BAY
-120.4,34.86,11,1633,348,504,327,2.0508,275000,<1H OCEAN
-122.45,37.72,52,982,197,653,171,4.2167,231900,NEAR BAY
-115.56,32.79,20,2372,835,2283,767,1.1707,62500,INLAND
-118.16,34.11,48,1091,236,632,234,3.7235,263600,<1H OCEAN
-116.98,32.73,16,952,143,530,143,5.0864,175300,<1H OCEAN
-121.87,37.42,19,12128,2112,6810,2040,6.4419,264500,<1H OCEAN
-121.24,37.95,36,361,63,169,62,3.7734,63800,INLAND
-121.66,39.15,22,2144,376,1200,370,3.4426,102400,INLAND
-121.41,38.52,25,3087,720,2529,708,1.8689,66800,INLAND
-116.98,33.26,12,5898,1002,3129,945,4.7647,254100,<1H OCEAN
-118.16,33.85,36,2668,473,1315,478,4.0714,215600,<1H OCEAN
-117.2,34.04,24,1587,222,676,234,6.0715,173400,INLAND
-118.03,33.86,19,1795,328,1014,322,4.535,289300,<1H OCEAN
-122.5,37.75,44,1819,,1137,354,3.4919,271800,NEAR OCEAN
-122.64,38.23,52,1075,249,519,210,3.0769,230900,<1H OCEAN
-121,37.25,31,1923,341,806,349,3.1738,97600,INLAND
-121.3,39,16,3155,541,1630,540,4.0282,126400,INLAND
-121.29,38.15,23,4183,633,1886,628,4.8787,175300,INLAND
-121.7,36.48,19,2150,479,1052,428,3.5039,288400,<1H OCEAN
-120.24,38.01,11,1214,228,633,199,3.125,148600,INLAND
-122.54,37.98,52,1758,316,607,264,5.5083,371900,NEAR BAY
-122.48,37.78,44,3371,794,1738,753,3.1653,335300,NEAR BAY
-117.24,34.15,23,3847,608,1621,630,4.6111,128400,INLAND
-121.31,38.97,16,1210,228,726,222,2.7083,82100,INLAND
-118.05,34.11,42,3677,627,1779,622,5.1509,426500,INLAND
-118.21,34.08,26,2574,807,3163,802,1.9495,173200,<1H OCEAN
-118.31,33.93,43,1834,292,997,295,4.9464,150300,<1H OCEAN
-118.01,33.96,36,1805,288,882,308,5.3054,273500,<1H OCEAN
-122.33,37.57,27,3085,876,1453,896,3.4333,290000,NEAR OCEAN
-117.37,33.19,18,975,382,650,286,1.9562,192500,NEAR OCEAN
-117.36,34,19,4592,895,2769,838,3.3622,105100,INLAND
-118.21,34.12,52,1590,360,1127,321,3.4625,173900,<1H OCEAN
